name,category,price,spicy,egg,gluten,nuts
ENSALADA CHINA,ENTREMESES,"3,80",FALSE,FALSE,FALSE,FALSE
ENSALADA DE POLLO Y GAMBAS,ENTREMESES,"5,50",FALSE,TRUE,FALSE,FALSE
CÓCTEL DE GAMBAS,ENTREMESES,"7,00",FALSE,TRUE,FALSE,FALSE
ROLLOS IMPERIALES (2 piezas),ENTREMESES,"3,40",FALSE,FALSE,TRUE,FALSE
WAN TUN FRITO,ENTREMESES,"4,50",FALSE,FALSE,TRUE,FALSE
PAN DE GAMBAS,ENTREMESES,"2,00",FALSE,FALSE,TRUE,FALSE
PAN CHINO,ENTREMESES,"1,30",FALSE,FALSE,TRUE,FALSE
SOPA DE TOMATE,SOPAS,"3,20",FALSE,FALSE,FALSE,FALSE
SOPA DE HUEVOS REVUELTOS,SOPAS,"3,20",FALSE,TRUE,FALSE,FALSE
SOPA DE LA CASA,SOPAS,"3,20",FALSE,TRUE,TRUE,FALSE
SOPA DE POLLO Y CHAMPIÑÓN,SOPAS,"3,20",FALSE,FALSE,FALSE,FALSE
SOPA DE FIDEOS CHINOS,SOPAS,"3,20",FALSE,FALSE,FALSE,FALSE
SOPA DE MAÍZ Y POLLO,SOPAS,"3,20",FALSE,TRUE,FALSE,FALSE
SOPA DE ALETA DE TIBURÓN,SOPAS,"4,40",FALSE,FALSE,TRUE,FALSE
SOPA WAN TUN,SOPAS,"3,60",FALSE,FALSE,TRUE,FALSE
SOPA DE VERDURAS,SOPAS,"3,20",FALSE,FALSE,FALSE,FALSE
MEZCLA DE LEGUMBRES,VERDURAS Y HUEVOS,"5,30",FALSE,FALSE,TRUE,FALSE
SETAS CHINAS Y BAMBÚ,VERDURAS Y HUEVOS,"6,00",FALSE,FALSE,TRUE,FALSE
SOJA FRITA,VERDURAS Y HUEVOS,"5,30",FALSE,FALSE,FALSE,FALSE
HUEVOS REVUELTOS CON GAMBAS,VERDURAS Y HUEVOS,"6,50",FALSE,TRUE,FALSE,FALSE
HUEVOS REVUELTOS CON JAMÓN,VERDURAS Y HUEVOS,"5,30",FALSE,TRUE,FALSE,FALSE
ARROZ FRITO CON POLLO,ARROZ,"4,00",FALSE,TRUE,FALSE,FALSE
ARROZ FRITO CON GAMBAS,ARROZ,"5,50",FALSE,TRUE,FALSE,FALSE
ARROZ FRITO CON TRES DELICIAS,ARROZ,"4,00",FALSE,TRUE,TRUE,FALSE
ARROZ FRITO CON TERNERA,ARROZ,"4,00",FALSE,TRUE,TRUE,FALSE
ARROZ FRITO CON CHA-SHIU,ARROZ,"4,40",FALSE,TRUE,FALSE,FALSE
ARROZ FRITO CON HUEVOS,ARROZ,"3,20",FALSE,TRUE,FALSE,FALSE
ARROZ BLANCO,ARROZ,"1,50",FALSE,FALSE,FALSE,FALSE
PATATAS FRITAS,ARROZ,"2,20",FALSE,FALSE,FALSE,FALSE
TALLARINES FRITOS CON POLLO,TALLARINES,"5,30",FALSE,FALSE,TRUE,FALSE
TALLARINES FRITOS CON GAMBAS,TALLARINES,"6,50",FALSE,FALSE,TRUE,FALSE
TALLARINES FRITOS CON TRES DELICIAS,TALLARINES,"5,80",FALSE,FALSE,TRUE,FALSE
TALLARINES FRITOS CON TERNERA,TALLARINES,"5,30",FALSE,FALSE,TRUE,FALSE
TALLARINES FRITOS CON CHAR-SHIU,TALLARINES,"5,80",FALSE,FALSE,TRUE,FALSE
TALLARINES FRITOS,TALLARINES,"3,20",FALSE,FALSE,TRUE,FALSE
PESCADO FRITO CON SALSA AGRIDULCE,MARISCOS,"6,50",FALSE,FALSE,FALSE,FALSE
PESCADO FRITO CON SALSA CHINA,MARISCOS,"6,50",FALSE,FALSE,TRUE,FALSE
LANGOSTINOS EN SALSA CHINA,MARISCOS,"13,80",FALSE,FALSE,TRUE,FALSE
LANGOSTINOS FRITOS (REBOZADOS),MARISCOS,"13,80",FALSE,FALSE,TRUE,FALSE
GAMBAS CON SALSA CHINA,MARISCOS,"9,00",FALSE,FALSE,TRUE,FALSE
GAMBAS CON SALSA AGRIDULCE,MARISCOS,"9,00",FALSE,FALSE,FALSE,FALSE
GAMBAS CON SALSA CURRY,MARISCOS,"9,00",TRUE,FALSE,FALSE,FALSE
GAMBAS CON SALSA PICANTE,MARISCOS,"9,00",TRUE,FALSE,TRUE,FALSE
GAMBAS CON SETAS Y BAMBÚ,MARISCOS,"9,00",FALSE,FALSE,TRUE,FALSE
GAMBAS FRITAS (REBOZADAS),MARISCOS,"9,00",FALSE,FALSE,TRUE,FALSE
CHOP SUEY DE GAMBAS,MARISCOS,"9,00",FALSE,FALSE,FALSE,FALSE
SOJA FRITA CON GAMBAS,MARISCOS,"9,00",FALSE,FALSE,FALSE,FALSE
PINCHITOS DE GAMBAS,MARISCOS,"9,50",FALSE,TRUE,TRUE,FALSE
CARNE AGRIDULCE,CERDO,"5,30",FALSE,FALSE,TRUE,FALSE
COSTILLAS FRITAS CON SALSA BARBACOA,CERDO,"6,50",FALSE,FALSE,TRUE,FALSE
CHAR-SHIU (CERDO ASADO) CON SALSA,CERDO,"6,50",FALSE,FALSE,TRUE,FALSE
CHOP SUEY DE CERDO,CERDO,"5,60",FALSE,FALSE,TRUE,FALSE
PINCHITOS DE CERDO,CERDO,"7,00",FALSE,TRUE,TRUE,FALSE
PATO FRITO CON SALSA CHINA,PATO,"9,50",FALSE,FALSE,TRUE,FALSE
PATO FRITO CON PIÑA,PATO,"9,50",FALSE,FALSE,TRUE,FALSE
PATO FRITO CON SALSA PICANTE,PATO,"9,50",TRUE,FALSE,TRUE,FALSE
PATO FRITO A LA NARANJA,PATO,"9,50",FALSE,FALSE,TRUE,FALSE
PATO FRITO CON SETAS Y BAMBÚ,PATO,"9,80",FALSE,FALSE,TRUE,FALSE
TERNERA CRUJIENTE SALSA AGRIPICANTE,TERNERA,"6,50",TRUE,FALSE,TRUE,FALSE
TERNERA CON SALSA DE OSTRAS,TERNERA,"5,60",FALSE,FALSE,TRUE,FALSE
TENERA CON SALSA CURRY,TERNERA,"5,30",TRUE,FALSE,FALSE,FALSE
TERNERA CON CEBOLLAS,TERNERA,"5,30",FALSE,FALSE,TRUE,FALSE
TERNERA CON PIMIENTOS VERDES,TERNERA,"5,30",FALSE,FALSE,TRUE,FALSE
TERNERA CON SETAS Y BAMBÚ,TERNERA,"6,00",FALSE,FALSE,TRUE,FALSE
TERNERA CON SALSA PICANTE,TERNERA,"5,30",TRUE,FALSE,TRUE,FALSE
TERNERA CON AJO Y VERDURAS,TERNERA,"5,60",TRUE,FALSE,TRUE,FALSE
TERNERA CON PUERRO,TERNERA,"5,60",FALSE,FALSE,TRUE,FALSE
TERNERA CON SOJA NEGRA,TERNERA,"5,80",TRUE,FALSE,TRUE,FALSE
TERNERA CON ALMENDRAS,TERNERA,"5,60",FALSE,FALSE,TRUE,TRUE
CHOP SUEY DE TERNERA,TERNERA,"5,30",FALSE,FALSE,TRUE,FALSE
FANTASÍA MANDARÍN,TERNERA,"6,50",FALSE,FALSE,TRUE,FALSE
POLLO CON SASA CURRY,POLLO,"5,30",TRUE,FALSE,FALSE,FALSE
POLLO CON SALSA PICANTE,POLLO,"5,30",TRUE,FALSE,TRUE,FALSE
POLLO CON ALMENDRAS,POLLO,"5,60",FALSE,FALSE,TRUE,TRUE
POLLO CON CHAMPIÑÓN,POLLO,"5,60",FALSE,FALSE,TRUE,FALSE
POLLO CON SETAS Y BAMBÚ,POLLO,"6,00",FALSE,FALSE,TRUE,FALSE
POLLO CON SOJA NEGRA,POLLO,"5,80",TRUE,FALSE,TRUE,FALSE
POLLO CON PIÑA,POLLO,"5,30",FALSE,FALSE,TRUE,FALSE
POLLO AL LIMÓN,POLLO,"5,60",FALSE,FALSE,TRUE,FALSE
ALITAS DE POLLO FRITAS,POLLO,"5,30",FALSE,FALSE,TRUE,FALSE
CHOP SUEY DE POLLO,POLLO,"5,30",FALSE,FALSE,TRUE,FALSE
PINCHITOS DE POLLO,POLLO,"7,00",FALSE,TRUE,TRUE,FALSE
POLLO FRITO EN SALSA DE AJO,POLLO,"5,60",FALSE,FALSE,TRUE,FALSE
POLLO LEÓN (CON SALSA PERRINS),POLLO,"5,60",FALSE,FALSE,TRUE,FALSE
HELADO VARIADO,POSTRES,"3,00",FALSE,TRUE,FALSE,FALSE
HELADO CON NUECES,POSTRES,"3,50",FALSE,TRUE,FALSE,TRUE
LYCHEES,POSTRES,"3,50",FALSE,FALSE,FALSE,FALSE
PLÁTANO FRITO CON MIEL,POSTRES,"4,00",FALSE,FALSE,TRUE,FALSE
MANZANA FRITA CON MIEL,POSTRES,"4,00",FALSE,FALSE,TRUE,FALSE
PIÑA FRITA CON MIEL,POSTRES,"4,00",FALSE,FALSE,TRUE,FALSE
COPA DE LA CASA,POSTRES,"4,00",FALSE,TRUE,FALSE,FALSE